service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
Nombre de consultants,3955,3499,3153,10607,2040,2294,2303,6637,17244,2188,3159,2742,8089,25333,2749,2923,3262,8934,34267
Nombre de consultations,4063,3735,3296,11094,2083,2348,2351,6782,17876,2216,3192,2824,8232,26108,2795,2971,3334,9100,35208
Nombre de consultants <5 ans,503,387,322,1212,181,208,161,550,1762,204,401,308,913,2675,383,297,486,1166,3841
Nombre de consultants >5 ans,3452,3112,2831,9395,1859,2086,2142,6087,15482,1984,2758,2434,7176,22658,2366,2626,2776,7768,30426
Nombre de conslutations <5 ans,507,393,326,1226,181,208,164,553,1779,206,404,312,922,2701,386,300,491,1177,3878
Nombre de consultations  >5 ans,3575,3342,2970,9887,1902,2140,2187,6229,16116,2010,2788,2512,7310,23426,2409,2671,2843,7923,31349
Cas M O,124,96,158,378,79,131,51,261,639,189,201,100,490,1129,173,64,75,312,1441
Cas référés vers une autre structure sanitaire ,113,125,71,309,33,71,30,134,443,19,16,15,50,493,4,34,28,66,559
Petites chirurgies ,88,55,98,241,65,72,56,193,434,49,70,68,187,621,76,65,62,203,824
1ère consultation prénatale 1er trimestre,21,32,37,90,26,18,17,61,151,19,35,42,96,247,41,48,35,124,371
1ère consultation prénatale autre trimestre,91,93,99,283,57,60,62,179,462,26,90,57,173,635,65,70,73,208,843
Total CPN1,112,125,136,373,83,78,79,240,613,45,125,99,269,882,106,118,108,332,1214
2ème consultation prénatale,118,122,98,338,76,94,90,260,598,45,29,43,117,715,62,64,53,179,894
3ème consultation prénatale,93,82,99,274,90,55,50,195,469,47,29,17,93,562,26,26,28,80,642
4ème consultation prénatale,52,54,55,161,49,49,46,144,305,30,35,15,80,385,17,11,22,50,435
5ème consultation prénatale et plus,25,27,28,80,32,23,21,76,156,3,8,5,16,172,5,3,2,10,182
Total autres CPN,288,285,280,853,247,221,207,675,1528,125,101,80,306,1834,110,104,105,319,2153
Grossesses à risque dépistées en CPN1,7,19,7,33,4,6,5,15,48,5,6,2,13,61,9,7,17,33,94
F E malnutries dépistées en CPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F E anémiées dépistées en CPN,3,6,2,11,6,8,4,18,29,2,2,1,5,34,10,12,14,36,70
F E dépistées posi à la syphilis en CPN,1,0,0,1,0,1,0,1,2,0,1,0,1,3,0,0,0,0,3
Sulfadoxine pyrimétamine (1ère dose),107,85,82,274,67,65,60,192,466,32,47,64,143,609,66,71,68,205,814
Sulfadoxine pyrimétamine (2ème dose),94,82,82,258,49,60,55,164,422,33,19,30,82,504,33,35,40,108,612
Sulfadoxine pyrimétamine (3ème dose),55,43,55,153,51,34,35,120,273,30,21,8,59,332,20,12,15,47,379
Sulfadoxine pyrimétamine (4ème dose et plus),0,0,55,55,0,0,0,0,55,0,0,0,0,55,0,0,0,0,55
FE vues en CPN et ayant reçu une MILDA,10,0,0,10,0,0,92,92,102,78,105,98,281,383,77,106,96,279,662
FE vues en CPN et mise sous Fer + folate Cp,400,410,416,1226,330,299,286,915,2141,170,226,178,574,2715,216,222,213,651,3366
F E vues en CPN et déparasitées,144,128,108,380,68,74,70,212,592,39,25,55,119,711,38,49,68,155,866
F E avec VAT2 ,103,94,105,302,,,53,53,355,37,89,,126,481,77,83,72,232,713
Accouchement dans l’établissement,53,42,62,157,72,83,62,217,374,29,45,43,117,491,42,48,40,130,621
Accouchement à domicile,4,1,8,13,9,7,2,18,31,3,4,6,13,44,5,3,3,11,55
TOTAL ACCOUCHEMENTS,57,43,70,170,81,90,64,235,405,32,49,49,130,535,47,51,43,141,676
Accouch référés vers une autre structure sanitaire,6,2,6,14,5,8,7,20,34,4,8,3,15,49,3,5,7,15,64
Femmes Correctement vaccinées au VAT,44,37,54,135,62,63,51,176,311,24,38,40,102,413,38,40,32,110,523
Femmes Incomplètement vaccinées au VAT,5,4,10,19,10,18,8,36,55,5,4,2,11,66,4,9,8,21,87
Femmes Non vaccinée au VAT,8,2,6,16,9,9,5,23,39,3,7,7,17,56,5,2,3,10,66
Naissances vivantes,57,42,70,169,81,90,64,235,404,32,49,49,130,534,47,50,42,139,673
Mort-nés frais,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
Mort-nés macérés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Enfants nés vivants  inférieur à 2500 g,2,3,12,17,11,6,2,19,36,4,3,7,14,50,5,2,0,7,57
Prématurés,0,2,1,3,0,1,0,1,4,1,0,1,2,6,2,1,0,3,9
N-nés protégés à la naissance contre le tétanos,43,37,54,134,62,63,64,189,323,24,49,49,122,445,36,40,43,119,564
Accouchements gémellaires,0,0,0,0,0,1,1,2,2,0,0,0,0,2,0,0,0,0,2
Avortements spontanés,12,4,0,16,3,0,1,4,20,0,1,6,7,27,1,4,2,7,34
Avortements volontaires,3,2,0,5,0,0,0,0,5,0,1,1,2,7,6,0,0,6,13
Evacuation des mères avant l’accouchement,6,2,48,56,34,7,7,48,104,3,4,3,10,114,3,5,7,15,129
Evacuation des mères après l’accouchement,0,1,1,2,1,1,0,2,4,1,1,0,2,6,0,0,0,0,6
Evacuation des nouveau-nés,7,0,4,11,1,1,0,2,13,1,0,1,2,15,2,2,2,6,21
Nombre de cas de CO*,6,0,48,54,34,51,30,115,169,4,5,3,12,181,3,5,7,15,196
Nombre de cas de CO référées vers,6,3,48,57,34,51,30,115,172,4,5,3,12,184,3,5,7,15,199
CPoN dans les 72 heures suivant l’accouchement,57,42,69,168,80,89,63,232,400,31,48,49,128,528,47,51,43,141,669
CPoN jusqu’ au 6ème jour après l’accouchement,36,20,34,90,16,52,22,90,180,9,11,27,47,227,40,26,17,83,310
CPoN 6ème semaine à 8ème semaine,16,39,27,82,29,31,20,80,162,36,11,29,76,238,29,32,32,93,331
Nombre d’enfants pesés,230,208,138,576,0,0,0,0,576,0,163,150,313,889,113,169,229,511,1400
Enfants malnutris aigüe modérés,8,0,3,11,0,0,0,0,11,0,3,5,8,19,11,7,21,39,58
Enfants malnutris aigüe sévères sans complications,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,2,3,5
Enfants malnutris aigüe sévères avec complications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfants en surpoids,5,3,0,8,0,0,0,0,8,0,2,0,2,10,0,2,7,9,19
Enfants Obèses (obésité),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfants vus en séance de vaccination PEV de routine,608,529,570,1707,412,624,656,1692,3399,491,598,472,1561,4960,592,565,259,1416,6376
Enfants ayant reçu une MILDA au cours du PEV,132,61,0,193,0,0,95,95,288,37,126,123,286,574,123,178,142,443,1017
Enfant 0-6 MOIS sous allaitement exclusif au sein,32,40,42,114,30,25,20,75,189,10,58,42,110,299,16,24,76,116,415
Vaccination enfant RR,139,130,111,380,114,96,100,310,690,74,96,92,262,952,100,125,98,323,1275
Enfant 6-59 mois supplémenté en vitamine A,208,181,143,532,102,145,103,350,882,147,159,142,448,1330,166,155,172,493,1823
Enfant 12-59 mois déparasités,53,66,43,162,29,52,,81,243,,53,66,119,362,53,40,44,137,499
Enfants malnutris pris en charge,8,5,3,16,0,0,0,0,16,0,5,6,11,27,11,8,22,41,68
Enfants malnutris déclarés guéris,3,4,1,8,0,0,0,0,8,0,0,0,0,8,2,10,10,22,30
Femme VAT2 +,103,94,105,302,,,53,53,355,37,89,115,241,596,62,93,101,256,852
CAS DE Effets Indésirables ,,,,,,,,0,,,,,0,,0,0,0,0,
CAS DE MAPI,,,,,,1,0,1,,1,1,0,2,,1,0,0,1,
Nombre de clients conseillés H,113,114,123,350,82,21,,103,453,28,51,61,140,593,37,43,44,124,717
Nombre de clients conseillés F,315,263,326,904,198,51,,249,1153,97,140,258,495,1648,164,272,295,731,2379
Nombre de clients conseillés H  TOTAL,428,377,449,1254,280,72,0,352,1606,125,191,319,635,2241,201,315,339,855,3096
Nombre de clients dépistés H,92,81,90,263,49,21,,70,333,20,25,54,99,432,37,43,44,124,556
Nombre de clients dépistés F,291,230,287,808,152,51,,203,1011,77,97,221,395,1406,164,272,295,731,2137
Nombre de clients dépistés TOTAL,383,311,377,1071,201,72,0,273,1344,97,122,275,494,1838,201,315,339,855,2693
Nombre de clients dépistés positifs  H,1,3,2,6,3,2,,5,11,2,3,4,9,20,1,1,3,5,25
Nombre de clients dépistés positifs F,7,4,10,21,6,4,,10,31,2,5,3,10,41,5,5,2,12,53
Nombre de clients dépistés positifs   TOTAL,8,7,12,27,9,6,0,15,42,4,8,7,19,61,6,6,5,17,78
Personnes HOMMES  IST dépistées au VIH,0,0,,0,0,0,,0,0,1,0,0,1,1,1,3,4,8,9
Personnes FEMMES  IST dépistées au VIH,1,0,,1,0,0,,0,1,30,0,0,30,31,1,2,1,4,35
Personnes   IST dépistées au VIH TOTAL ,1,0,0,1,0,0,0,0,1,31,0,0,31,32,2,5,5,12,44
Personnes atteintes IST dépistées positives au VIH  HOMMES,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Personnes atteintes IST dépistées positives au VIH FEMMES,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,1
F E en CPN 1 et se conn déjà séropositiv au VIH,3,3,1,7,2,1,1,4,11,1,1,1,3,14,1,4,2,7,21
F E conseillé et testées VIH en CPN et en maternité,134,183,151,468,94,55,1,150,618,47,91,106,244,862,108,114,105,327,1189
F E dépistées séropositives au VIH,3,1,6,10,0,1,0,1,11,1,0,0,1,12,0,1,4,5,17
F E déjà sous traitement ARV et reçu en CPN 1,3,3,1,7,2,1,1,4,11,1,1,1,3,14,1,4,2,7,21
F E au VIH dont l’accouchement a été enregistré,4,2,2,8,3,3,1,7,15,0,1,0,1,16,1,0,1,2,18
Enfants nés vivants de mères séropositives au VIH,4,2,2,8,3,3,1,7,15,0,1,0,1,16,1,0,1,2,18
Enfants ARV dans les 72 h après la naissance,1,2,2,5,1,3,1,5,10,0,1,0,1,11,1,0,0,1,12
Enfant  au VIH initiant Cotrimoxazole avant 02 mois,1,4,2,7,1,2,2,5,12,2,3,0,5,17,1,3,0,4,21
Mères séropositives au VIH bénéficiant des  PF (6 semaines après ) ,0,1,2,3,0,0,0,0,3,0,0,0,0,3,1,0,0,1,4
