service,JANVIER,FEVRIER,MARS,T1,AVRIL,MAI,JUIN,T2,S1,JUILLET,AOÛT,SEPTEMBRE,T3,T3 TO,OCTOBRE,NOVEMBRE,DÉCEMBRE,T4,TOTAUX
Nombre de consultants,965.0,844.0,806.0,2615.0,759.0,762.0,967.0,2488.0,5103.0,1167.0,1043.0,0.0,3119.0,0.0,0.0,0.0,0.0,2166.0,10388.0
Nombre de consultations,991.0,890.0,828.0,2709.0,777.0,774.0,985.0,2536.0,5245.0,1181.0,1043.0,0.0,3133.0,0.0,0.0,0.0,0.0,2211.0,10589.0
Nombre de consultants <5 ans,194.0,173.0,169.0,536.0,164.0,127.0,159.0,450.0,986.0,216.0,172.0,0.0,533.0,0.0,0.0,0.0,0.0,432.0,1951.0
Nombre de consultants >5 ans,771.0,671.0,637.0,2079.0,595.0,635.0,808.0,2038.0,4117.0,951.0,871.0,0.0,2586.0,0.0,0.0,0.0,0.0,1734.0,8437.0
Nombre de conslutations <5 ans,791.0,180.0,170.0,1141.0,170.0,127.0,160.0,457.0,1598.0,220.0,172.0,0.0,537.0,0.0,0.0,0.0,0.0,1368.0,3503.0
Nombre de consultations  >5 ans,200.0,710.0,658.0,1568.0,607.0,647.0,825.0,2079.0,3647.0,961.0,871.0,0.0,2596.0,0.0,0.0,0.0,0.0,843.0,7086.0
Cas M O,45.0,29.0,3.0,77.0,34.0,39.0,49.0,122.0,199.0,1.0,45.0,0.0,93.0,0.0,0.0,0.0,0.0,40.0,332.0
Cas référés vers une autre structure sanitaire,2.0,0.0,20.0,22.0,28.0,14.0,12.0,54.0,76.0,6.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,98.0
Pansements,24.0,26.0,48.0,98.0,40.0,46.0,49.0,135.0,233.0,13.0,46.0,0.0,84.0,0.0,0.0,0.0,0.0,77.0,394.0
Injections,607.0,492.0,458.0,1557.0,36.0,543.0,45.0,624.0,2181.0,654.0,578.0,0.0,1692.0,0.0,0.0,0.0,0.0,1072.0,4945.0
Perfusions,60.0,0.0,53.0,113.0,43.0,51.0,0.0,94.0,207.0,76.0,56.0,0.0,167.0,0.0,0.0,0.0,0.0,50.0,424.0
Autres soins,0.0,0.0,0.0,0.0,17.0,19.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
"Petite chirurgie, circoncision",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
"Petite chirurgie, suture de plaie",1.0,1.0,10.0,12.0,3.0,1.0,0.0,4.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,24.0
"Petite chirurgie, incision d’abcès",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autres petites chirurgies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0
1ère consultation prénatale 1er trimestre,19.0,20.0,18.0,57.0,13.0,9.0,17.0,39.0,96.0,9.0,19.0,0.0,50.0,0.0,0.0,0.0,0.0,47.0,193.0
1ère consultation prénatale autre trimestre,52.0,34.0,30.0,116.0,33.0,21.0,21.0,75.0,191.0,23.0,28.0,0.0,71.0,0.0,0.0,0.0,0.0,93.0,355.0
Total CPN1,71.0,54.0,48.0,173.0,46.0,30.0,38.0,114.0,287.0,32.0,47.0,0.0,121.0,0.0,0.0,0.0,0.0,140.0,548.0
2ème consultation prénatale,54.0,49.0,49.0,152.0,41.0,29.0,31.0,101.0,253.0,35.0,28.0,0.0,92.0,0.0,0.0,0.0,0.0,112.0,457.0
3ème consultation prénatale,33.0,24.0,37.0,94.0,36.0,25.0,28.0,89.0,183.0,38.0,22.0,0.0,83.0,0.0,0.0,0.0,0.0,87.0,353.0
4ème consultation prénatale,29.0,15.0,36.0,80.0,22.0,36.0,40.0,98.0,178.0,16.0,19.0,0.0,49.0,0.0,0.0,0.0,0.0,45.0,272.0
